ts;humidity;light;motion;temperature;vdd
1591806323933;70;3;0;20.4;3561
1591806623945;70;3;0;20.5;3561
1591806923926;70;3;0;20.5;3561
1591807223907;70;3;0;20.5;3563
1591807823860;70;3;0;20.4;3561
1591808123841;70;2;0;20.5;3561
1591808423849;71;2;0;20.5;3561
1591808723806;71;2;0;20.4;3563
1591809023807;71;2;0;20.5;3561
1591809323797;71;2;0;20.4;3561
1591809623784;71;1;0;20.4;3561
1591809923766;71;1;0;20.4;3561
1591810223730;71;1;0;20.4;3563
1591810523716;71;1;0;20.4;3563
1591811123691;71;1;0;20.4;3561
1591811423677;71;1;0;20.4;3561
1591811723669;71;1;0;20.4;3561
1591812023630;71;1;0;20.4;3561
1591812323639;71;1;0;20.4;3563
1591812623627;71;1;0;20.4;3561
1591812923585;70;1;0;20.4;3563
1591813223560;70;1;0;20.4;3561
1591813823550;70;1;0;20.4;3561
1591814123548;70;1;0;20.4;3561
1591814423522;70;1;0;20.4;3563
1591814723514;70;1;0;20.4;3561
1591815023481;70;1;0;20.3;3561
1591815623469;70;1;0;20.3;3563
1591815923434;70;1;0;20.3;3563
1591816523430;70;1;0;20.3;3563
1591816823412;70;1;0;20.3;3561
1591817423392;70;1;0;20.4;3561
1591817723363;69;1;0;20.3;3561
1591818323323;69;1;0;20.3;3561
1591818623305;69;1;0;20.3;3561
1591818923289;69;1;0;20.4;3561
1591819223284;69;1;0;20.3;3561
1591819823231;69;1;0;20.3;3561
1591820123239;69;1;0;20.3;3563
1591820423218;69;1;0;20.3;3566
1591821023177;69;1;0;20.3;3561
1591821323155;69;1;0;20.3;3561
1591821623159;69;1;0;20.3;3563
1591821923152;69;1;0;20.3;3561
1591822523265;69;1;0;20.3;3561
1591823123073;69;1;0;20.3;3561
1591823423049;69;1;0;20.3;3563
1591823723041;69;1;0;20.3;3561
1591824023027;69;1;0;20.3;3561
1591824323006;69;1;0;20.3;3563
1591824623012;69;1;0;20.3;3561
1591824922977;68;1;0;20.3;3561
1591825222990;68;1;0;20.3;3561
1591825522947;68;1;0;20.3;3561
1591826122907;68;1;0;20.3;3561
1591826422895;68;1;0;20.2;3561
1591826722887;68;1;0;20.3;3563
1591827022891;69;1;0;20.3;3561
1591827922862;68;1;0;20.3;3561
1591828222811;68;1;0;20.2;3561
1591828522792;68;1;0;20.3;3561
1591828822777;68;1;0;20.2;3561
1591829122769;68;1;0;20.3;3561
1591829422772;68;1;0;20.2;3563
1591829722751;68;1;0;20.2;3561
1591830022733;68;1;0;20.2;3561
1591830322721;68;1;0;20.3;3561
1591830622679;68;1;0;20.3;3561
1591830922664;68;1;0;20.2;3561
1591831222655;68;1;0;20.2;3561
1591831522639;68;1;0;20.2;3563
1591831822642;68;1;0;20.2;3561
1591832122630;68;1;0;20.3;3561
1591832722609;68;1;0;20.2;3561
1591833022589;68;1;0;20.2;3561
1591833322544;68;1;0;20.2;3561
1591833622541;68;1;0;20.2;3563
1591833922508;68;1;0;20.2;3563
1591834222511;67;1;0;20.2;3561
1591834522494;68;1;0;20.3;3561
1591835122482;67;1;0;20.2;3561
1591835722428;67;1;0;20.2;3561
1591836022410;67;1;0;20.2;3563
1591836322401;67;1;0;20.2;3561
1591836622368;67;1;0;20.2;3561
1591836922379;67;1;0;20.3;3561
1591837222369;67;1;0;20.2;3563
1591837522347;67;1;0;20.2;3561
1591837822336;67;1;0;20.2;3561
1591838122301;67;1;0;20.2;3561
1591838422280;67;1;0;20.2;3561
1591838722256;67;2;0;20.2;3561
1591839022265;67;2;0;20.2;3561
1591839322247;67;2;0;20.2;3561
1591839622239;67;3;0;20.2;3561
1591839922237;67;3;0;20.2;3561
1591840222213;67;4;0;20.2;3561
1591840522219;67;4;0;20.2;3561
1591840822159;67;5;0;20.2;3563
1591841422140;67;5;0;20.2;3561
1591842022097;67;7;0;20.2;3563
1591842322077;68;9;0;20.2;3563
1591842622087;68;10;0;20.2;3561
1591842922075;67;11;0;20.2;3563
1591843222049;68;12;0;20.3;3563
1591843522031;68;12;0;20.2;3561
1591843822014;68;13;0;20.3;3561
1591844122001;68;14;0;20.2;3561
1591844421986;68;12;0;20.2;3561
1591844721991;68;13;0;20.2;3561
1591845021998;68;11;0;20.3;3563
1591845321956;68;13;0;20.3;3561
1591845621920;68;17;0;20.3;3561
1591845921906;69;20;0;20.2;3561
1591846521873;69;22;0;20.3;3561
1591847121857;70;23;0;20.3;3561
1591847421854;70;24;0;20.3;3563
1591848021815;70;25;0;20.3;3561
1591848321782;70;25;0;20.3;3563
1591848621768;70;26;0;20.3;3563
1591848921743;70;26;0;20.4;3563
1591849221728;70;26;0;20.3;3566
1591849521726;70;26;0;20.3;3563
1591849821711;70;26;0;20.4;3563
1591850121712;69;26;0;20.4;3561
1591850421690;69;26;0;20.4;3561
1591850721676;69;27;0;20.4;3561
1591851021647;69;27;0;20.4;3563
1591851321624;69;27;0;20.4;3563
1591851621596;69;28;0;20.5;3563
