ts;externalTemperature;humidity;light;motion;temperature;vdd
1596541005472;20.3;54;21;3;21.7;3564
1596541307764;20.4;54;19;2;21.8;3564
1596541606184;20.4;54;19;3;21.7;3564
1596541906065;20.4;54;18;2;21.8;3564
1596542206753;20.4;54;20;3;21.7;3561
1596542505855;20.3;54;22;2;21.8;3564
1596542806158;20.4;54;19;3;21.7;3564
1596543107982;20.3;54;21;2;21.7;3564
1596543409684;20.4;54;20;3;21.8;3564
1596543708959;20.2;54;20;2;21.7;3564
1596544014071;20.4;54;18;3;21.8;3564
1596544305587;20.4;54;18;2;21.8;3564
1596544607213;20.2;54;18;3;21.8;3564
1596544906385;20.3;54;20;2;21.8;3564
1596545206069;20.3;54;18;3;21.8;3564
1596545506196;20.3;54;20;2;21.8;3564
1596545806755;20.3;54;19;3;21.8;3564
1596546106505;20.3;54;20;2;21.8;3564
1596546406500;20.3;54;20;3;21.8;3564
1596546705945;20.4;54;23;2;21.7;3564
1596547019460;20.4;54;23;3;21.8;3564
1596547306714;20.3;54;22;2;21.8;3564
1596547606537;20.4;54;23;3;21.7;3561
1596547905110;20.4;54;24;2;21.8;3564
1596548207423;20.3;54;26;3;21.8;3564
1596548505584;20.4;54;27;2;21.8;3564
1596548807881;20.3;54;30;3;21.8;3564
1596549105734;20.4;54;39;2;21.8;3564
1596549406136;20.5;54;48;3;21.8;3564
1596549706910;20.5;54;39;2;21.8;3564
1596550006793;20.5;54;65;3;21.8;3564
1596550306103;20.7;54;88;2;21.9;3564
1596550605421;20.6;54;74;3;21.8;3561
1596550905460;20.8;54;107;2;21.9;3564
1596551207029;20.8;54;79;3;21.8;3564
1596551507322;20.9;54;78;2;21.9;3564
1596551805930;21;54;130;3;21.9;3564
1596552105715;21;54;143;2;21.9;3564
1596552406802;21.1;54;142;3;22;3564
1596552705984;21.2;54;122;2;22;3564
1596553008105;21.1;54;93;3;21.9;3564
1596553305201;21;54;52;2;22;3564
1596553606583;20.9;54;31;3;22;3564
1596553905643;20.9;54;19;2;22;3564
1596554206686;20.9;54;7;3;22;3564
1596554505333;20.7;54;6;2;22;3564
1596554806596;20.7;54;7;3;22;3564
1596555105793;20.6;54;7;2;21.9;3564
1596555407779;20.7;54;9;3;22;3564
1596555704750;20.7;54;17;2;22;3564
1596556007618;20.6;54;14;3;22;3564
1596556305534;20.5;54;9;2;22;3564
1596556605157;20.6;54;6;3;21.9;3564
1596556904209;20.6;54;6;2;21.9;3564
1596557205923;20.7;54;10;3;21.9;3564
1596557507077;20.5;54;4;2;21.9;3564
1596557806349;20.5;54;4;3;21.9;3564
1596558106058;20.5;54;3;2;21.9;3564
1596558404645;20.4;54;3;3;21.9;3564
1596558704134;20.5;54;2;2;21.9;3564
1596559008042;20.4;54;2;3;21.9;3564
1596559305449;20.5;54;2;2;21.9;3564
1596559605184;20.4;54;1;3;21.9;3564
1596559905419;20.4;54;1;2;21.9;3564
1596560205915;20.3;54;1;3;21.9;3564
1596560507289;20.3;54;1;2;21.9;3564
1596560804660;20.3;54;1;3;21.9;3564
1596561105790;20.3;54;1;2;21.8;3564
1596561406140;20.2;54;1;3;21.8;3564
1596561705423;20.2;54;0;2;21.8;3564
1596562006269;20.3;54;0;3;21.8;3564
1596562313258;20.2;54;0;2;21.8;3564
1596562605473;20.1;54;0;3;21.8;3564
1596562904649;20.1;54;1;2;21.8;3564
1596563204014;20;54;0;3;21.8;3564
1596563507677;19.9;54;0;2;21.8;3564
1596563805114;19.9;54;0;3;21.7;3564
1596564104371;19.9;54;0;2;21.8;3564
1596564405697;20;54;0;3;21.8;3564
1596564706313;20;54;0;2;21.8;3564
1596565008618;19.9;54;0;3;21.8;3564
1596565304546;19.9;54;0;2;21.8;3564
1596565604247;19.9;55;0;3;21.7;3564
1596565906570;20;55;0;2;21.8;3564
1596566203934;19.9;55;0;3;21.7;3564
1596566504784;19.9;55;0;2;21.7;3564
1596566804184;19.9;55;0;3;21.7;3564
1596567105155;19.8;55;0;2;21.7;3564
1596567405027;19.8;55;0;3;21.7;3564
1596567705039;19.9;55;0;2;21.7;3561
1596568004340;19.8;55;0;3;21.7;3564
1596568303566;19.8;55;0;2;21.7;3564
1596568605143;19.8;55;0;3;21.7;3564
1596568904973;19.7;55;0;2;21.7;3564
1596569206140;19.8;55;0;3;21.6;3564
1596569503802;19.9;55;0;2;21.6;3564
1596569804436;19.8;55;0;3;21.7;3564
1596570103363;19.7;55;0;2;21.6;3564
1596570404267;19.8;55;0;3;21.6;3564
1596570704790;19.9;55;0;2;21.6;3564
1596571004917;19.8;55;0;3;21.7;3564
1596571306592;19.7;55;0;2;21.6;3564
1596571603839;19.8;55;0;3;21.6;3564
1596572205188;19.7;55;0;3;21.6;3564
1596572505586;19.7;55;0;2;21.6;3561
1596572805323;19.6;55;0;3;21.6;3564
1596573106664;19.6;55;0;2;21.6;3564
1596573403191;19.7;55;0;3;21.6;3564
1596573703342;19.6;55;0;2;21.6;3564
1596574003516;19.7;55;0;3;21.6;3564
1596574306860;19.7;55;0;2;21.6;3564
1596574604798;19.7;55;0;3;21.6;3564
1596574911401;19.7;55;0;2;21.6;3561
1596575203324;19.7;55;0;3;21.6;3564
1596575503762;19.8;55;0;2;21.6;3564
